artist_id,artist_name,status,submitted_by,reviewed_by
0OUKObtDiU0yOxyns51bpb,Matter Of Mind,approved,2,1
0ZzYDST6Dib7iYd8hmcLcH,M2M,approved,2,1
1XpDYCrUJnvCo9Ez6yeMWh,Tenacious D,approved,2,1
063AxhAs6zx8UYdPahb5Gi,Jo Jo Zep and The Falcons,approved,2,1
3vn7rk7VNMfDhuZNB9sDYP,360,approved,2,1
0nqejKHUiWWMRltB0Cx5xq,PEZ,approved,2,1
0LcJLqbBmaGUft1e9Mm8HV,ABBA,approved,2,1
5aYyPjAsLj7UzANzdupwnS,Good Charlotte,approved,2,1
6NFyaN9PMCDZ3LKxGwHAXt,Illy,approved,2,1
5ujrA1eZLDHR7yQ6FZa2qA,Vera Blue,approved,2,1
0UKfenbZb15sqhfPC6zbt3,DEVO,approved,2,1
1dfeR4HaWDbWqFHLkxsg1d,Queen,approved,2,1
1JQYskbOoudT9cylam24a3,The Marcels,approved,2,1
2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,approved,2,1
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,approved,2,1
5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,approved,2,1
62sPt3fswraiEPnKQpAbdE,Bobby Brown,approved,2,1
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,approved,2,1
4utLUGcTvOJFr6aqIJtYWV,Skylar Grey,approved,2,1
1NRzxuPpdGushT8YmF5NAa,Edison Lighthouse,approved,2,1
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,approved,2,1
30GIF9g2UJ1ifn45kSMTFf,Maria McKee,approved,2,1
7EQ0qTo7fWT7DPxmxtSYEc,Bastille,approved,2,1
2wpJOPmf1TIOzrB9mzHifd,Scouting For Girls,approved,2,1
26VFTg2z8YR0cCuwLzESi2,Halsey,approved,2,1
07XSN3sPlIlB2L2XNcTwJw,KISS,approved,2,1
4dpARuHxo51G3z768sgnrY,Adele,approved,2,1
2eogQKWWoohI3BSnoG7E2U,Donna Summer,approved,2,1
1ahGKezyX9Rl7GuEF2tc15,José Carreras,approved,2,1
7Ead768rc4ShGxnqtqccU5,Sarah Brightman,approved,2,1
3tKmZgJAXrog8SnYpzWSbe,Dave Dee\,approved,2,1
artist_missing_f04d6645709e,Dozy\,approved,2,1
artist_missing_e36e3eb8e447,Beaky\,approved,2,1
artist_missing_9296a101f30b,Mick & Tich,approved,2,1
2FrKQPjJe4pVMZOgm0ESOx,SNAP!,approved,2,1
7juKTDFlPesGeWQ1GmjmOv,Silentó,approved,2,1
2yYwj3KocGouUipLjS8yKr,Britney Holmes,approved,2,1
7r2lG8Ui6vGHAgsKlE8Hd8,Pete Shelley,approved,2,1
1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,approved,2,1
3TVXtAsR1Inumwj472S9r4,Drake,approved,2,1
6iRRErKYy1iojOaJoq6Ltk,Felix,approved,2,1
6pjod8SsOOGf6GW9tfEnH1,Reece Mastin,approved,2,1
3r9TXuXfOUxXjgYgAR0fP8,Bay City Rollers,approved,2,1
3aAUu37qACrKr6h9eQyNVj,The Reels,approved,2,1
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,approved,2,1
0cQuYRSzlItquYxsQKDvVc,The Guess Who,approved,2,1
3C5hjzfOs3mSIhWhLl5Tni,Des O'Connor,approved,2,1
7KK6M2jPylHa6gLbMBI6V0,Tony Christie,approved,2,1
1VcbchGlIfo3Gylxc3F076,Cold Chisel,approved,2,1
