track_id,track_name,popularity,duration_ms,explicit,preview_url,status,submitted_by,reviewed_by
1ezeinbhS1HhWzA8yQIzA7,Michelle,0,141663,0,https://p.scdn.co/mp3-preview/0c35530eef4a4a589d49238e669aec9e3e484cb0?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
56zrJ2upO5VssMnqowOZOH,Things That Make You Go Hmmm,0,325120,0,https://p.scdn.co/mp3-preview/fc46d84a2a9b8b416ccdd844e71379e4859065ba?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2H9CKpZiLDF223BbwehpDF,Hush Hush; Hush Hush / I Will Survive - Medley,56,252093,0,https://p.scdn.co/mp3-preview/331b0dac276291c8b9a55f5ddd66607841728d8a?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1kj3ASwCuqDnzehRd3WIz3,Second Solution,25,178733,0,https://p.scdn.co/mp3-preview/c7c6801472320106427a383a6773a75e0bf437f0?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0SZIQOLgjT6awjwInBsSjV,You're The Best Thing,0,340626,0,https://p.scdn.co/mp3-preview/378c4115cf348a68f0f4da57982925ffaa0340b5?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2QLEN3RVunMas7j0PHjeAT,C'mon N' Ride It (The Train),50,451440,0,https://p.scdn.co/mp3-preview/b6cdc9bcc2dca7a828691afd84abcdba8adf6e75?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
4AGkYEPy8SPf0JADQNsw2q,Super Love,34,204986,0,https://p.scdn.co/mp3-preview/89be8698dcce79c1e19395c3c8d68c1c9389504f?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3c4OULLWwgRqBfA2dJtRuY,Love Is In The Air,3,210293,0,https://p.scdn.co/mp3-preview/232f9f979ad1c8a70315eca897524b25d708cbc5?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3tFECpGckFpp0HpQje78gi,Forever Young,52,239120,0,https://p.scdn.co/mp3-preview/6dd8feeb953297968da0e4f270f5264f648a0ece?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
66xn6tB8s3l8uhj02OGneE,For You (Fifty Shades Freed) (& Rita Ora),58,245453,0,https://p.scdn.co/mp3-preview/7dfa7d8a0ee05272ee21b880654dd3c74285f902?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
070QivFOnOdtVznpnrUMCO,Bad Habits,0,208253,0,https://p.scdn.co/mp3-preview/18cc0d7105176bb58c64818f5368b2b97768a15b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0a75KbBW12Hc8QtrD1gwAJ,I Wanna Do It with You,0,181906,0,https://p.scdn.co/mp3-preview/392bc263884451f83b54b067a7038db2380ae32e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3RauEVgRgj1IuWdJ9fDs70,The Man,79,190360,0,https://p.scdn.co/mp3-preview/8eed78d771b1fc7b51cfe4bcf198611ac243acec?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
